"Header";"English";"Chinese";"Malay"
"choose_lng";"Choose a language";"选择语言";"Pilih bahasa"
"change_lng";"Change language";"更改语言";"Tukar bahasa"
"login#header";"Login";"登录";"Log masuk"
"login#l_email";"Login with Email";"电子邮件登录";"Log masuk dengan E-mel"
"login#l_num";"Login with Phone Number";"电话号码登录";"Log masuk dengan Nombor Telefon"
"login#email";"Email";"电子邮件";"E-mel"
"login#number";"Mobile number";"电话号码";"Nombor telefon"
"login#otp";"OTP Verification";"验证码";"Pengesahan OTP"
"login#get_otp";"Get OTP";"获取 OTP";"Dapatkan OTP"
"login#resend_otp";"Resend after {{timeLeft}}s";"{{timeLeft}}秒后重发 ";"Hantar semula selepas {{timeLeft}} saat"
"login#password";"Password";"密码";"Masukkan sandi anda"
"login#forgot_password";"Forgot password";"忘记密码";"Lupa sandi"
"login#login_with_number";"Login with mobile number";"使用手机号码登录";"Log masuk dengan nombor telefon"
"login#verify_otp";"Verify OTP";"验证码";"Sahkan OTP"
"login#resend";"Resend OTP";"重发验证码";"Hantar semula OTP"
"login#Reset_password";"Reset Password";"重设密码";"Menetapkan semula kata laluan"
"login#Enter_email_address";"Enter email address";"输入电子邮件";"Masukkan alamat email"
"login#If_an_account_exist";"If an account exists, a password reset link will be emailed to you";"如果帐户存在,您会收到重设密码链接";"Jika akaun wujud, pautan tetapan semula kata laluan akan dihantar melalui e-mel kepada anda"
"dashboard#title";"Dashboard";"仪表板";"Dasbor"
"dashboard#employer";"Welcome to South East Dashboard";"雇主仪表板";"Dashboard Majikan"
"dashboard#no_post";"No job posts yet";"没有职位发布";"Tiada jawatan kerja"
"dashboard#new_post";"Post new job";"新职位发布";"Jawatan baru"
"dashboard#err_msg1";"Could not verify JWT: JWTExpired";"无法验证 jwt: jwt 已过期";"Could not verify JWT: JWTExpired"
"dashboard#active_jobs";"Active Jobs";"活跃职位";"Pekerjaan aktif"
"dashboard#inactive_jobs";"Inactive Jobs";"不活跃职位";"Pekerjaan tidak aktif"
"dashboard#No_active_jobs";"No active jobs";"没活跃职位";"Tiada kerja aktif"
"dashboard#No_inactive_jobs";"No inactive jobs";"没不活跃职位";"Tiada kerja tidak aktif"
"dashboard#monthly";"monthly";"每月";"bulanan"
"dashboard#hourly";"hourly";"每小时";"setiap jam"
"dashboard#currency";"SGD";"新币";"singapura"
"dashboard#applied";"Applied";"已申请";"Sudah mohon"
"dashboard#candi";"Candidates";"申请";"Calon"
"dashboard#next";"Next";"下一页";"Seterusnya"
"dashboard#back";"Back";"前一页";"Kembali"
"dashboard#prev";"Previous";"上一页";"Kembali"
"dashboard#view_job_details";"View Job Details";"查看工作详情";"Lihat butiran kerja"
"dashboard#edit_job";"Edit Job";"编制工作";"mengedit kerja"
"dashboard#Click_to_view_applicants";"Click to view applicant(s)";"点击查看求职者";"Klik untuk melihat pemohon"
"dashboard#Applicants";" Applicant(s)";" 求职者";" Pemohon"
